ID,NumMat,Nome,Descr
1,1001,Notebook Dell Inspiron,Notebook para uso corporativo com 16GB RAM e SSD
2,1002,Mouse Logitech M185,Mouse óptico sem fio USB
3,1003,Teclado Microsoft 600,Teclado USB padrão ABNT2
4,1004,Monitor Samsung 24,Monitor LED Full HD 24 polegadas
5,1005,HD Externo Seagate 1TB,Disco rígido externo portátil USB 3.0
6,1006,SSD Kingston 500GB,Unidade de estado sólido SATA para computadores
7,1007,Impressora HP DeskJet,Impressora multifuncional jato de tinta
8,1008,Roteador TP-Link Archer C6,Roteador Wi-Fi dual band gigabit
9,1009,Webcam Logitech C270,Câmera web HD para videoconferência
10,1010,Headset HyperX Cloud,Headset gamer com microfone e som estéreo
